config,arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,rt
bare-git,pos,cloudfoundry_cf-java-client__80d0a0dff9,cloudfoundry_cf-java-client__80d0a0dff9__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_serviceadmin_DefaultServiceAdmin.java,clean,,FP,test-label,0.002
bare-git,pos,cloudfoundry_cf-java-client__933add90ad,cloudfoundry_cf-java-client__933add90ad__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_useradmin_DefaultUserAdmin.java,clean,,FP,test-label,0.001
bare-git,pos,cloudfoundry_cf-java-client__9f6b79e294,cloudfoundry_cf-java-client__9f6b79e294__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_applications_DefaultApplications.java,clean,,FP,test-label,0.002
bare-git,pos,cloudfoundry_cf-java-client__a69078adc8,cloudfoundry_cf-java-client__a69078adc8__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations__DefaultCloudFoundryOperations.java,clean,,FP,test-label,0.001
bare-git,pos,cloudfoundry_cf-java-client__a69078adc8,cloudfoundry_cf-java-client__a69078adc8__integration-test_src_test_java_org_cloudfoundry_IntegrationTestConfiguration.java,clean,,FP,test-label,0.001
bare-git,pos,cloudfoundry_cf-java-client__a9d35d542d,cloudfoundry_cf-java-client__a9d35d542d__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_routes_DefaultRoutes.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,cloudfoundry_cf-java-client__a9d35d542d,cloudfoundry_cf-java-client__a9d35d542d__integration-test_src_test_java_org_cloudfoundry_operations_RoutesTest.java,clean,,FP,test-label,0.002
bare-git,pos,cloudfoundry_cf-java-client__b0add1ef2a,cloudfoundry_cf-java-client__b0add1ef2a__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_services_DefaultServices.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,cloudfoundry_cf-java-client__be097d5860,cloudfoundry_cf-java-client__be097d5860__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor__DefaultConnectionContext.java,clean,,FP,test-label,0.001
bare-git,pos,cloudfoundry_cf-java-client__be097d5860,cloudfoundry_cf-java-client__be097d5860__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor_util_DefaultSslCertificateTruster.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,cloudfoundry_cf-java-client__eb3b2f5beb,cloudfoundry_cf-java-client__eb3b2f5beb__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations__DefaultCloudFoundryOperations.java,clean,,FP,test-label,0.001
bare-git,pos,cloudslang_score__66ba4f51e3,cloudslang_score__66ba4f51e3__score-api_src_main_java_io_cloudslang_score_lang_ExecutionRuntimeServices.java,clean,,TP,dev-match,0.001
bare-git,pos,comatoes_ftl-profile-editor__e87fe65818,comatoes_ftl-profile-editor__e87fe65818__src_main_java_net_blerf_ftl_parser_SavedGameParser.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,cribbstechnologies_java-mandrill-wrapper__0cf79745f1,cribbstechnologies_java-mandrill-wrapper__0cf79745f1__src_main_java_com_cribbstechnologies_clients_mandrill_model_MandrillMessage.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,cribbstechnologies_java-mandrill-wrapper__0cf79745f1,cribbstechnologies_java-mandrill-wrapper__0cf79745f1__src_test_java_com_cribbstechnologies_clients_mandrill_request_MandrillRESTRequestTest.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_main_java_de_slackspace_openkeepass_KeePassDatabase.java,clean,,FP,test-label,0.001
bare-git,pos,cternes_openkeepass__bb53512ab2,cternes_openkeepass__bb53512ab2__src_test_java_de_slackspace_openkeepass_reader_KeepassDatabaseReaderTest.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,dabsquared_gitlab-plugin__d555b8773d,dabsquared_gitlab-plugin__d555b8773d__src_main_java_com_dabsquared_gitlabjenkins_connection_GitLabConnectionConfig.java,clean,,FP,test-label,0.001
bare-git,pos,datastax_java-driver__0dd96ea21f,datastax_java-driver__0dd96ea21f__driver-core_src_main_java_com_datastax_driver_core_TableMetadata.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,datastax_java-driver__1f25c7e3a0,datastax_java-driver__1f25c7e3a0__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,clean,,FP,test-label,0.002
bare-git,pos,datastax_java-driver__1f25c7e3a0,datastax_java-driver__1f25c7e3a0__driver-core_src_main_java_com_datastax_driver_core_TypeCodec.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,datastax_java-driver__3eb34e6785,datastax_java-driver__3eb34e6785__driver-core_src_main_java_com_datastax_driver_core_TableMetadata.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,datastax_java-driver__725b790a79,datastax_java-driver__725b790a79__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,datastax_java-driver__7ff4958746,datastax_java-driver__7ff4958746__driver-core_src_main_java_com_datastax_driver_core_Cluster.java,clean,,FP,test-label,0.002
bare-git,pos,datastax_java-driver__7ff4958746,datastax_java-driver__7ff4958746__driver-core_src_main_java_com_datastax_driver_core_ControlConnection.java,clean,,FP,test-label,0.001
bare-git,pos,datastax_java-driver__e1535e89ad,datastax_java-driver__e1535e89ad__driver-core_src_main_java_com_datastax_driver_core_HostConnectionPool.java,clean,,FP,test-label,0.001
bare-git,pos,deemopen_zkui__2843e7c28f,deemopen_zkui__2843e7c28f__src_main_java_com_deem_zkui_controller_Import.java,clean,,FP,test-label,0.001
bare-git,pos,deemopen_zkui__2843e7c28f,deemopen_zkui__2843e7c28f__src_main_java_com_deem_zkui_vo_LeafBean.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,digidotcom_xbeejavalibrary__6279f85f74,digidotcom_xbeejavalibrary__6279f85f74__src_com_digi_xbee_api_XBeeDevice.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,dius_java-faker__4c61966b1c,dius_java-faker__4c61966b1c__src_main_java_com_github_javafaker_Faker.java,clean,,FP,test-label,0.001
bare-git,pos,dtrules_dtrules__505c5cbf82,dtrules_dtrules__505c5cbf82__compilerutil_src_main_java_com_dtrules_trace_Trace.java,clean,,FP,test-label,0.001
bare-git,pos,elisarver_selophane__4ecc600017,elisarver_selophane__4ecc600017__src_test_java_org_selophane_elements_FormTest.java,clean,,FP,test-label,0.001
bare-git,pos,elisarver_selophane__4ecc600017,elisarver_selophane__4ecc600017__src_test_java_org_selophane_elements_helpers_FormTestObject.java,clean,,FP,test-label,0.001
bare-git,pos,erudika_para__a9e67cc8b3,erudika_para__a9e67cc8b3__para-server_src_main_java_com_erudika_para_aop_IndexAndCacheAspect.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,fasterxml_jackson-core__2572819ed9,fasterxml_jackson-core__2572819ed9__src_test_java_com_fasterxml_jackson_core_sym_TestSymbolTables.java,clean,,FP,test-label,0.001
bare-git,pos,fasterxml_jackson-datatype-joda__4e6c266339,fasterxml_jackson-datatype-joda__4e6c266339__src_test_java_com_fasterxml_jackson_datatype_joda_JodaSerializationTest.java,clean,,FP,test-label,0.001
bare-git,pos,feroult_yawp__141f79a8e9,feroult_yawp__141f79a8e9__src_main_java_endpoint_repository_IdRef.java,clean,,FP,test-label,0.001
bare-git,pos,feroult_yawp__1723236a65,feroult_yawp__1723236a65__src_main_java_endpoint_actions_RepositoryActions.java,clean,,FP,test-label,0.001
bare-git,pos,frankbille_scoreboard__890ecd0bdb,frankbille_scoreboard__890ecd0bdb__src_main_java_dk_frankbille_scoreboard_domain_Player.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,garbagemule_mobarena__b34dc0d5ac,garbagemule_mobarena__b34dc0d5ac__src_main_java_com_garbagemule_MobArena_MASpawnThread.java,clean,,FP,test-label,0.001
bare-git,pos,google_compile-testing__608e1cb92a,google_compile-testing__608e1cb92a__src_test_java_com_google_testing_compile_JavaSourcesSubjectFactoryTest.java,conflict,textual,FN,dev-match,0.001
bare-git,pos,google_truth__2e4a23bebb,google_truth__2e4a23bebb__core_src_main_java_org_truth0_subjects_StringSubject.java,clean,,FP,test-label,0.001
bare-git,pos,google_truth__2e4a23bebb,google_truth__2e4a23bebb__core_src_test_java_org_truth0_subjects_StringTest.java,clean,,FP,test-label,0.001
bare-git,pos,google_truth__9289ed34ae,google_truth__9289ed34ae__src_main_java_org_junit_contrib_truth_subjects_IterableSubject.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,google_truth__9289ed34ae,google_truth__9289ed34ae__src_test_java_org_junit_contrib_truth_IterableTest.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,greese_dasein-cloud-core__6c37152e5f,greese_dasein-cloud-core__6c37152e5f__src_main_java_org_dasein_cloud_network_LoadBalancerHealthCheck.java,conflict,textual,FN,dev-match,0.001
bare-git,pos,guhilling_cdi-test__f3f8094c67,guhilling_cdi-test__f3f8094c67__cdi-test-jpa_src_test_java_de_hilling_junit_cdi_jee_EntityManagerLifecycleTest.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,gwtbootstrap3_gwtbootstrap3__5c0d1eab79,gwtbootstrap3_gwtbootstrap3__5c0d1eab79__gwtbootstrap3_src_main_java_org_gwtbootstrap3_client_ui_base_form_AbstractForm.java,clean,,FP,test-label,0.001
bare-git,pos,haraldwalker_user-agent-utils__eaaaa1488b,haraldwalker_user-agent-utils__eaaaa1488b__src_main_java_eu_bitwalker_useragentutils_Browser.java,clean,,FP,test-label,0.001
bare-git,pos,haraldwalker_user-agent-utils__eaaaa1488b,haraldwalker_user-agent-utils__eaaaa1488b__src_main_java_eu_bitwalker_useragentutils_OperatingSystem.java,clean,,FP,test-label,0.001
bare-git,pos,ignorance77_transformiceapi__9a65b8374f,ignorance77_transformiceapi__9a65b8374f__src_main_java_ee_ignorance_transformiceapi_processors_MouseDeathProcessor.java,clean,,FP,test-label,0.001
bare-git,pos,imixs_imixs-workflow__23b86de5b4,imixs_imixs-workflow__23b86de5b4__imixs-workflow-index-lucene_src_main_java_org_imixs_workflow_engine_lucene_LuceneIndexService.java,clean,,FP,test-label,0.001
bare-git,pos,imixs_imixs-workflow__23b86de5b4,imixs_imixs-workflow__23b86de5b4__imixs-workflow-index-lucene_src_main_java_org_imixs_workflow_engine_lucene_LuceneUpdateService.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,iryndin_jdbf__9853124d73,iryndin_jdbf__9853124d73__src_main_java_net_iryndin_jdbf_util_DbfMetadataUtils.java,clean,,FP,test-label,0.001
bare-git,pos,j256_ormlite-core__2c159335d4,j256_ormlite-core__2c159335d4__src_main_java_com_j256_ormlite_stmt_mapped_MappedCreate.java,clean,,FP,test-label,0.001
bare-git,pos,j256_ormlite-core__606986f118,j256_ormlite-core__606986f118__src_main_java_com_j256_ormlite_field_FieldType.java,clean,,FP,test-label,0.002
bare-git,pos,jacquesberger_jsonparsingexample__ac521954c2,jacquesberger_jsonparsingexample__ac521954c2__src_main_java_org_jberger_jsonparsingexample_json_JSON.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jadler-mocking_jadler__294a06c3fc,jadler-mocking_jadler__294a06c3fc__jadler-core_src_main_java_net_jadler_JadlerMocker.java,clean,,FP,test-label,0.001
bare-git,pos,javamoney_jsr354-api__6d2356a153,javamoney_jsr354-api__6d2356a153__money-api_provider_src_test_java_javax_money_provider_MonetaryTest.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,javaparser_javaparser__41a398414f,javaparser_javaparser__41a398414f__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_JavaParserFacade.java,clean,,FP,test-label,0.002
bare-git,pos,javaparser_javaparser__41a398414f,javaparser_javaparser__41a398414f__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_TypeExtractor.java,clean,,FP,test-label,0.001
bare-git,pos,javaparser_javaparser__91ebf36c06,javaparser_javaparser__91ebf36c06__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javassistmodel_JavassistClassDeclaration.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,javaparser_javaparser__91ebf36c06,javaparser_javaparser__91ebf36c06__javaparser-symbol-solver-testing_src_test_java_com_github_javaparser_symbolsolver_resolution_AnalyseJavaSymbolSolver060Test.java,clean,,FP,test-label,0.001
bare-git,pos,javaparser_javaparser__a23c6aa3b8,javaparser_javaparser__a23c6aa3b8__javaparser-testing_src_test_java_com_github_javaparser_bdd_steps_DumpingSteps.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,javaparser_javaparser__dc6254f1bf,javaparser_javaparser__dc6254f1bf__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_declarations_JavaParserSymbolDeclaration.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,javaparser_javaparser__ff91564b7f,javaparser_javaparser__ff91564b7f__javaparser-core-testing_src_test_java_com_github_javaparser_modules_ModuleDeclarationTest.java,clean,,FP,test-label,0.001
bare-git,pos,jboss-msc_jboss-msc__1d9b8d45ff,jboss-msc_jboss-msc__1d9b8d45ff__src_main_java_org_jboss_msc_service_BatchInjectionBuilderImpl.java,conflict,textual,FN,dev-match,0.001
bare-git,pos,jboss-msc_jboss-msc__a4e21a3b10,jboss-msc_jboss-msc__a4e21a3b10__src_main_java_org_jboss_msc_service_ServiceContainerImpl.java,clean,,FP,test-label,0.002
bare-git,pos,jboss-remoting_jboss-remoting__66a0631d13,jboss-remoting_jboss-remoting__66a0631d13__src_main_java_org_jboss_remoting3_RemotingXmlParser.java,clean,,FP,test-label,0.001
bare-git,pos,jcabi_jcabi-github__27cc460e3c,jcabi_jcabi-github__27cc460e3c__src_main_java_com_jcabi_github_Gist.java,clean,,FP,test-label,0.001
bare-git,pos,jcabi_jcabi-github__27cc460e3c,jcabi_jcabi-github__27cc460e3c__src_test_java_com_jcabi_github_RtGistITCase.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jcabi_jcabi-github__b13d2596ba,jcabi_jcabi-github__b13d2596ba__src_test_java_com_jcabi_github_RtIssueITCase.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jcabi_jcabi-github__b13d2596ba,jcabi_jcabi-github__b13d2596ba__src_test_java_com_jcabi_github_RtMilestonesITCase.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jcabi_jcabi-github__e18a8ffd16,jcabi_jcabi-github__e18a8ffd16__src_test_java_com_jcabi_github_RtHooksITCase.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jcabi_jcabi-http__0c63dd0c75,jcabi_jcabi-http__0c63dd0c75__src_main_java_com_jcabi_http_mock_MkQueryMatchers.java,clean,,TP,dev-match,0.001
bare-git,pos,jdupl_lancoder__407742ea19,jdupl_lancoder__407742ea19__src_main_java_org_lancoder_Main.java,clean,,FP,test-label,0.001
bare-git,pos,jdupl_lancoder__407742ea19,jdupl_lancoder__407742ea19__src_main_java_org_lancoder_master_api_web_ApiServer.java,conflict,textual,FN,dev-match,0.001
bare-git,pos,jenkinsci_coverity-plugin__2fb8690816,jenkinsci_coverity-plugin__2fb8690816__src_main_java_jenkins_plugins_coverity_CoverityTool_CoverityToolHandler.java,clean,,FP,test-label,0.001
bare-git,pos,jenkinsci_coverity-plugin__62bdb6232e,jenkinsci_coverity-plugin__62bdb6232e__src_main_java_jenkins_plugins_coverity_ws_DefectReader.java,clean,,FP,test-label,0.001
bare-git,pos,jenkinsci_coverity-plugin__62bdb6232e,jenkinsci_coverity-plugin__62bdb6232e__src_test_java_jenkins_plugins_coverity_ws_DefectReaderTest.java,clean,,FP,test-label,0.001
bare-git,pos,jenkinsci_credentials-plugin__b9cb5f9d1b,jenkinsci_credentials-plugin__b9cb5f9d1b__src_test_java_com_cloudbees_plugins_credentials_casc_CredentialsCategoryTest.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jenkinsci_docker-build-publish-plugin__59faa9673c,jenkinsci_docker-build-publish-plugin__59faa9673c__src_main_java_com_cloudbees_dockerpublish_DockerBuilder.java,clean,,FP,test-label,0.002
bare-git,pos,jenkinsci_email-ext-plugin__4def0e56a8,jenkinsci_email-ext-plugin__4def0e56a8__src_test_java_hudson_plugins_emailext_recipients_EmailRecipientUtilsTest.java,clean,,FP,test-label,0.001
bare-git,pos,jenkinsci_jira-plugin__0eec353cb5,jenkinsci_jira-plugin__0eec353cb5__src_main_java_hudson_plugins_jira_JiraSite.java,clean,,FP,test-label,0.001
bare-git,pos,jenkinsci_jira-plugin__6ad78581c9,jenkinsci_jira-plugin__6ad78581c9__src_main_java_hudson_plugins_jira_JiraChangeLogAnnotator.java,clean,,FP,test-label,0.001
bare-git,pos,jenkinsci_jira-plugin__6ad78581c9,jenkinsci_jira-plugin__6ad78581c9__src_main_java_hudson_plugins_jira_JiraSite.java,clean,,FP,test-label,0.001
bare-git,pos,jenkinsci_ldap-plugin__3eee59e25a,jenkinsci_ldap-plugin__3eee59e25a__src_main_java_hudson_security_LDAPSecurityRealm.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,jenkinsci_ui-samples-plugin__81bf937a3d,jenkinsci_ui-samples-plugin__81bf937a3d__src_main_java_io_jenkins_plugins_designlibrary_Root.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jline_jline2__348cb9dada,jline_jline2__348cb9dada__src_main_java_jline_console_ConsoleReader.java,clean,,FP,test-label,0.003
bare-git,pos,jline_jline2__348cb9dada,jline_jline2__348cb9dada__src_test_java_jline_console_ConsoleReaderTestSupport.java,clean,,FP,test-label,0.001
bare-git,pos,jline_jline2__5869eaa93a,jline_jline2__5869eaa93a__src_main_java_jline_console_ConsoleReader.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,jmetal_jmetal__162d1a63b7,jmetal_jmetal__162d1a63b7__jmetal-core_src_main_java_org_uma_jmetal_util_SolutionListUtils.java,clean,,FP,test-label,0.001
bare-git,pos,jmetal_jmetal__162d1a63b7,jmetal_jmetal__162d1a63b7__jmetal-core_src_main_java_org_uma_jmetal_util_neighborhood_impl_AdaptiveRandomNeighborhood.java,clean,,FP,test-label,0.001
bare-git,pos,jmetal_jmetal__7d9295f890,jmetal_jmetal__7d9295f890__jmetal-problem_src_main_java_org_uma_jmetal_problem_multiobjective_MultiobjectiveTSP.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jmetal_jmetal__b4630972a8,jmetal_jmetal__b4630972a8__jmetal-auto_src_main_java_org_uma_jmetal_auto_parameter_Parameter.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jnr_jnr-unixsocket__467698b6bd,jnr_jnr-unixsocket__467698b6bd__src_main_java_jnr_unixsocket_Native.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jnr_jnr-unixsocket__467698b6bd,jnr_jnr-unixsocket__467698b6bd__src_main_java_jnr_unixsocket_UnixSocketChannel.java,clean,,FP,test-label,0.001
bare-git,pos,jnr_jnr-unixsocket__f8f34e5634,jnr_jnr-unixsocket__f8f34e5634__src_main_java_jnr_unixsocket_Native.java,clean,,FP,test-label,0.001
bare-git,pos,joel-costigliola_assertj-core__1b4ad829f3,joel-costigliola_assertj-core__1b4ad829f3__src_test_java_org_assertj_core_api_SoftAssertionsTest.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,joel-costigliola_assertj-core__74baae279d,joel-costigliola_assertj-core__74baae279d__src_main_java_org_assertj_core_api_AbstractMapAssert.java,clean,,FP,test-label,0.002
bare-git,pos,joel-costigliola_assertj-core__74baae279d,joel-costigliola_assertj-core__74baae279d__src_main_java_org_assertj_core_api_AbstractObjectAssert.java,clean,,TP,dev-match,0.001
bare-git,pos,jparsec_jparsec__ef02642abd,jparsec_jparsec__ef02642abd__src_main_java_org_codehaus_jparsec_Parser.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,jsprit_jsprit__5cf6758085,jsprit_jsprit__5cf6758085__jsprit-core_src_test_java_jsprit_core_analysis_SolutionAnalyserTest.java,clean,,FP,test-label,0.003
bare-git,pos,jwtk_jjwt__ff932e9838,jwtk_jjwt__ff932e9838__src_main_java_io_jsonwebtoken_impl_DefaultJwtParser.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,k3po_k3po__084cc0b426,k3po_k3po__084cc0b426__specification_wse_src_test_java_org_kaazing_specification_wse_data_BinaryAsEscapedTextIT.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,kaazing_k3po__084cc0b426,kaazing_k3po__084cc0b426__specification_wse_src_test_java_org_kaazing_specification_wse_data_BinaryAsEscapedTextIT.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,kaazing_robot__084cc0b426,kaazing_robot__084cc0b426__specification_wse_src_test_java_org_kaazing_specification_wse_data_BinaryAsEscapedTextIT.java,conflict,textual,TN,dev-match,0.001
bare-git,pos,kohsuke_github-api__4e56b8bb78,kohsuke_github-api__4e56b8bb78__src_main_java_org_kohsuke_github_GHRepository.java,conflict,textual,TN,dev-match,0.002
bare-git,pos,kohsuke_github-api__4e56b8bb78,kohsuke_github-api__4e56b8bb78__src_main_java_org_kohsuke_github_Requester.java,clean,,FP,test-label,0.002
bare-git,pos,kongchen_swagger-maven-plugin__1e61731653,kongchen_swagger-maven-plugin__1e61731653__src_main_java_com_github_kongchen_swagger_docgen_reader_SpringMvcApiReader.java,clean,,FP,test-label,0.001
bare-git,pos,kongchen_swagger-maven-plugin__3d2ea22d07,kongchen_swagger-maven-plugin__3d2ea22d07__src_main_java_com_github_kongchen_swagger_docgen_reader_AbstractReader.java,clean,,FP,test-label,0.001
bare-git,pos,learning-layers_socialsemanticserver__4ada3cddc3,learning-layers_socialsemanticserver__4ada3cddc3__serv_serv.custom_serv.custom.caller_src_main_java_at_tugraz_sss_serv_caller_SSServCaller.java,conflict,textual,TN,dev-match,0.003
bare-git,pos,learning-layers_socialsemanticserver__4ada3cddc3,learning-layers_socialsemanticserver__4ada3cddc3__serv_serv.custom_serv.custom.ops_src_main_java_at_tugraz_sss_serv_SSServOpE.java,clean,,FP,test-label,0.001
bare-git,pos,lwhite1_tablesaw__13178c81a1,lwhite1_tablesaw__13178c81a1__core_src_main_java_tech_tablesaw_api_DateTimeColumn.java,clean,,FP,test-label,0.001
bare-git,pos,mashape_unirest-java__121f85b819,mashape_unirest-java__121f85b819__src_test_java_com_mashape_unirest_test_http_UnirestTest.java,conflict,textual,TN,dev-match,0.001
